id_vaga,tool
30077919,SQL
30077919,PYTHON
30045699,AZURE
30045699,IAGEN
30600767,EXCEL
30475700,SQL
30435634,SQL
30435634,POSTGRESQL
30435634,LOOKER
30435634,TABLEAU
30435634,PYTHON
30435634,AIRFLOW
30623482,SQL
30623482,QLIK
30623482,POSTGRESQL
30623482,MONGODB
30623482,GCP
30623482,BIGQUERY
30623482,MYSQL
30307157,AZURE
30307157,SQL
30307157,PL/SQL
30307157,HADOOP
30307157,T-SQL
30307157,SPARK
30307157,LEARNING
30307157,PYTHON
29698367,LEARNING
29698367,SQL
29698367,PANDAS
30290752,PYTHON
30033286,SQL
29725962,AZURE
29725962,SQL
29725962,SCALA
29725962,SPARK
29725962,PYTHON
30008081,SQL
30185618,SQL
30475996,EXCEL
30475996,SQL
30082115,AZURE
30082115,AWS
30082115,GCP
30082115,PYTHON
30082115,AIRFLOW
30401756,AWS
30401756,SQL
30401756,SEABORN
30401756,PLOTLY
30401756,GCP
30401756,KUBERNETES
30401756,BIGQUERY
30401756,STREAMLIT
30401756,REDSHIFT
30401756,PYTHON
30401756,AIRFLOW
30395242,QLIKVIEW
30395242,SQL
30395242,R
30395242,TABLEAU
30395242,PYTHON
30559617,EXCEL
30559617,PYTHON
30253165,EXCEL
30253165,SQL
30531192,AZURE
30531192,AWS
30531192,SQL
30531192,SCALA
30531192,DYNATRACE
30531192,ELK
30531192,JAVA
30531192,OPENTELEMETRY
30531192,SPARK
30531192,NOSQL
30531192,SPLUNK
30531192,DATABRICKS
30531192,GRAFANA
29836225,SQL
29991256,DATABRICKS
30068404,EXCEL
30534279,AWS
30534279,SQL
30534279,SCALA
30534279,GCP
30534279,PYSPARK
30534279,R
30534279,LOOKER
30534279,PYTHON
29726096,AZURE
29726096,POWERBI
29726096,SQL
29726096,SCALA
29726096,SPARK
29726096,API
29726096,DATABRICKS
29726096,PYTHON
30664371,SQL
30664371,DOCKER
30664371,POSTGRESQL
30664371,MONGODB
30664371,GIT
30664371,MYSQL
30664371,PYTHON
30446919,AWS
30446919,SQL
30446919,DATABRICKS
30446919,HADOOP
30446919,POSTGRESQL
30446919,CASSANDRA
30446919,MONGODB
30446919,SPARK
30446919,NOSQL
30446919,MYSQL
30446919,PANDAS
30446919,PYTHON
30446919,KAFKA
29946478,EXCEL
29946478,R
29946478,PYTHON
30268227,SPARK
30268227,AZURE
30268227,SQL
30268227,PYTHON
30220571,POWERBI
30136616,AZURE
30136616,AWS
30136616,SQL
30136616,HADOOP
30136616,GCP
30136616,PYTHON
30136616,AIRFLOW
29921100,LEARNING
30523812,EXCEL
30527976,DEEP
30527976,PYTORCH
30527976,GITHUB
30527976,IA
30527976,GIT
30527976,LEARNING
30527976,TENSORFLOW
30527976,PYTHON
30630098,EXCEL
30630098,PYTHON
30526288,EXCEL
30531248,SPARK
30531248,SQL
30531248,PYTHON
30570912,BIGQUERY
30570912,SQL
30570912,PYTHON
30570912,R
30433425,AWS
30433425,SQL
30433425,EXCEL
30433425,TABLEAU
30433425,PYTHON
30504513,EXCEL
30504513,SQL
30200253,SQL
29903480,EXCEL
30535998,LEARNING
30535998,SQL
30535998,PYTHON
30535998,R
29679157,POWERBI
29679157,SQL
29679157,LINUX
29679157,EXCEL
29679157,TABLEAU
30352546,SQL
29978027,R
29978027,PYTHON
30043918,BIGQUERY
30043918,SQL
30043918,PYTHON
30043918,AIRFLOW
30119253,SNOWFLAKE
30119253,SQL
30119253,SYBASE
30119253,GCP
30119253,SPARK
30119253,MYSQL
30119253,DATABRICKS
30119253,AIRFLOW
30267610,EXCEL
30647870,EXCEL
30647870,SQL
30044338,SQL
30044338,R
30044338,LOOKER
30044338,TABLEAU
30044338,PYTHON
29977132,PYTHON
30068483,METABASE
30068483,AWS
29967946,SQL
29967946,DATABRICKS
29967946,ML
29967946,HADOOP
29967946,POSTGRESQL
29967946,CASSANDRA
29967946,MONGODB
29967946,SPARK
29967946,NOSQL
29967946,LEARNING
29967946,MYSQL
29967946,PANDAS
29967946,PYTHON
29967946,KAFKA
29992900,GCP
29992900,KUBERNETES
29992900,LUIGI
29992900,PYTHON
29992900,AZURE
29992900,POSTGRESQL
29992900,PYSPARK
29992900,GIT
29992900,SPARK
29992900,SQL
29992900,CASSANDRA
29992900,LEARNING
