id_vaga,data_anuncio,titulo_vaga,titulo_resumo,faixa_salarial,empresa_contratante,estado,cidade,url,descricao,beneficios,regimeContrato
30077919,2024-08-16T23:59:59Z,Analista de Dados - Júnior,analista-de-dados-junior,não disponível,CARTÃO DE TODOS,MG,Ipatinga,/vagas/analista-de-dados-junior/30077919/,"Para agregar nosso time, suas principais atividades a serem exercidas serão:  Executar atividades de extração, transformação e carregamento (ETL) de dados, assegurando a integridade e precisão das informações processadas. Desenvolver e manter dashboards interativos para visualização e análise de dados, adaptando-os às necessidades dos stakeholders. Criar e monitorar indicadores-chave de performance (KPIs). Automatizar processos para melhorar a eficiência e reduzir erros. Realizar análises estatísticas para gerar insights que apoiem a tomada de decisões e contribuir com valores incrementais. Garantir a entrega dos projetos dentro dos prazos estipulados, mantendo padrões de qualidade e otimizando recursos técnicos e materiais. Colaborar com stakeholders para entender e atender às suas necessidades, promovendo a melhoria contínua dos processos, assegurando a entrega de relatórios e apresentações gerenciais sobre os resultados e progresso dos projetos.  Vamos adorar caso você possa contribuir com as seguintes competências: Superior em alguns dos cursos: Engenharia da Computação, Sistemas da Informação, Inteligência de Negócio, Estatística ou áreas correlatas;  Experiência sólida nas seguintes ferramentas: SQL, Python, Power BI e Pentaho; Pacote office completo; Conhecimento em ETL; Inglês intermediário; Capacidade de adaptação.","['Seguro Saúde', 'Assistência Médica / Medicina em grupo', 'Assistência Odontológica', 'Tíquete Refeição', 'Tíquete Alimentação', 'Vale Transporte']",CLT (Efetivo)
30045699,2024-08-21T23:59:59Z,Cientista de Dados Sênior,cientista-de-dados-senior,não disponível,DECISION,SP,São Paulo,/vagas/cientista-de-dados-senior/30045699/,"Skills / Atividades: Conhecimentos em Conhecimentos em Azure, IAGen e Azure.",[],
30600767,2024-10-07T23:59:59Z,Analista de Dados em Excel,analista-de-dados-em-excel,não disponível,JETER CONSULTING,SP,São Paulo,/vagas/analista-de-dados-em-excel/30600767/,"Com experiência comprovada como Analista de Sistemas.Descrição: Precisará trabalhar de forma sistemática e eficiente, sabendo entender os objetivos e necessidades da colaboração, coletar dados de sistemas internos, excel, banco de dados ou de dados não estruturados, garantir integridade e precisão dos dados coletador e apresentar os desempenhos e resultados.Habilidades técnicas:Liderança;Comunicação assertiva;Excel;Habilidades organizacionais;Comunicação Eficaz.Horário de Trabalho: Segunda à sexta dás 08h às 17h48min.Local: Rua 25 de Março,595","['Convênio com Farmácia', 'Vale Transporte']",CLT (Efetivo)
30610040,2024-10-08T23:59:59Z,Analista de Dados,analista-de-dados,não disponível,J&T EXPRESS BRASIL,DF,Brasilia,/vagas/analista-de-dados/30610040/,"-Analisa estratégias e atividades de concorrentes e elabora projeções de vendas e relatórios de tendências mercadológicas para subsidiar informações à gerência na tomada de decisão. -Desenvolve orçamentos e presta suporte à equipe de vendas no esclarecimento de dúvidas sobre produtos e serviços.- Responsável por coletar dados de várias fontes, como CRM, sistemas de ERP, plataformas de marketing e relatórios de vendas. Experiência na função;Ensino Superior Cursando;","['Seguro Saúde', 'Assistência Médica / Medicina em grupo', 'Assistência Odontológica', 'Seguro de Vida em Grupo', 'Tíquete Refeição', 'Tíquete Alimentação', 'Vale Transporte']",CLT (Efetivo)
30475700,2024-09-24T23:59:59Z,Analista de BI Sr,analista-de-bi-sr,"De R$ 4.001,00 a R$ 5.000,00",REDEBRASIL,SP,São Paulo,/vagas/analista-de-bi-sr/30475700/,"Quer fazer parte de uma rede de reconhecimento e de oportunidades?Então, seu lugar é conosco!Somos feitos de pessoas diferentes, fisicamente e culturalmente. Conectados pelas nossas diferenças. Seres humanos motivados a ajudar a encontrar soluções. Juntos somamos uma rede de pluralidade. Somos diversidade. Somos Redebrasil.Faça parte você também da nossa Rede!#vempraredeResponsabilidades e atribuiçõesElaboração de material de comitês internos e externos;Identifica as fontes de informação necessárias para gerar dashboards e reports analíticos em ferramenta de BI;Extrair, transformar e manipular dados visando a construção de bases de informações para tomada de decisão;Analisa os resultados dos indicadores, gera visões customizadas para os clientes internos, aponta destaques e variações atípicas e estima potencial de retorno das ações propostas;Criar projeções do resultado (mensal e anual) e participar ativamente na criação de modelos estatísticos;Criar e manter KPI´s de desempenho e construção de reports.requisitos e qualificaçõesGraduação completa ou cursando na área de exatas ou de negócios;Conhecimento em Power BI;Conhecimento Banco de Dados (SQL);Desejável experiência nas atividades;Pacote Office avançado;Horário: segunda a sexta das 8h às 17h48min.Diferenciais:Experiência com Carteiras de Cobrança;Experiência/Utilização Ferramentas de Cobrança;Controle e Acompanhamentos de Controles Estratégicos;Cursos e Conhecimentos Diversos na Área;",[],CLT (Efetivo)
30435634,2024-09-19T23:59:59Z,Analista de BI Sênior,analista-de-bi-senior,não disponível,VECTOR,RJ,Rio de Janeiro,/vagas/analista-de-bi-senior/30435634/,"- Projetar, construir e manter pipelines de dados robustos e escaláveis;- Desenvolver e gerenciar processos de ETL para integrar dados de múltiplas fontes em data warehouses e data lakes;- Colaborar com equipes de negócios e TI para definir e entender requisitos de dados e relatórios;- Criar dashboards e relatórios interativos usando ferramentas de BI (como Power BI, Tableau, etc.) para suportar a tomada de decisão;- Analisar grandes conjuntos de dados para identificar tendências, padrões e insights estratégicos;- Garantir a qualidade dos dados e a governança de dados através de práticas rigorosas de monitoramento e validação. - Superior Completo em Ciência da Computação, Engenharia de Dados, Análise de Dados ou áreas relacionadas;- Sólida experiência em SQL e outras linguagens de consulta e manipulação de dados;- Conhecimento avançado em ferramentas de ETL (como Apache NiFi, Talend, Glue, Airflow);- Experiência com sistemas de banco de dados relacional (SQL Server, PostgreSQL, etc.);- Familiaridade com ferramentas de BI (Power BI, Tableau, Looker, etc.) e linguagens de programação (Python, Go);- Habilidade comprovada na criação de relatórios e visualizações de dados que comunicam insights de forma clara e eficaz;- Experiência com arquitetura de data lakes e data warehouses;- Excelentes habilidades de comunicação e colaboração;- Proatividade e capacidade de resolver problemas complexos de maneira criativa;","['Seguro Saúde', 'Assistência Odontológica', 'Seguro de Vida em Grupo', 'Tíquete Refeição', 'Tíquete Alimentação', 'Auxílio Creche']",CLT (Efetivo)
30623482,2024-10-09T23:59:59Z,Analista II - Arquitetura de Dados e BI,analista-ii-arquitetura-de-dados-e-bi,não disponível,RH CENTER,SC,Florianópolis,/vagas/analista-ii-arquitetura-de-dados-e-bi/30623482/,"SEBRAE/SC, CONTRATA:ANALISTA II - TECNOLOGIA DA INFORMAÇÃO - ARQUITETURA DE DADOS E BI Experiência Obrigatória Necessária (06 meses):Modelagem de dados para Analytics Integração de Sistemas; Linguagem SQL e Banco de Dados; Ferramentas de BI (preferência, Qlik Sense e Power BI) Ambientes Google Cloud Platform (GCP) para analytics (BigQuery, DataFlow e Cloud Composer) Mapeamento de requisitos e processos; Metodologia Ágil Scrum; Gestão de Projetos. Obrigatório possuir CNH categoria B vigente. Ensino superior completo, preferencialmente em áreas relacionadas a TI e Pós-graduação completa. Conhecimentos Específicos:Cloud Computing GCP (BigQuery, DataFlow e Cloud Composer) Bancos de dados (SQLServer, MongoDB, PostgreSQL, MariaDB, MySQL); Conhecimento em Governança TI; LGPD  Lei Geral de Proteção de Dados; Controles financeiros e monitoramento de processos; Elaboração e Gestão de Projetos; Principais atividades especificas e detalhadas do cargo:Liderar equipes técnicas de engenheiros de dados e analistas de BI Conduzir reuniões de Status Report para partes interessadas; Coordenar cronogramas e prazos das entregas; Criar rotinas de monitoramentos de Roadmaps de projetos; Utilizar metodologias ágeis nas entregas de sprints; Gerir orçamentos de projetos e contratos; Local:Florianopólis R$ 9.440,24 Assistência Médico-Hospitalar e Odontológica, Plano de Previdência Privada, Vale-Transporte, Auxílio-Educação, Seguro de Vida em Grupo e Auxílio Alimentação e/ou Refeição. Inscrições:A partir das 09h do dia 30/09 (segunda-feira), com término das inscrições as 12h do dia 07/10 (segunda-feira). Maiores informações:ps://drive.google.com/file/d/1aDuiqJ2dJAYttmzmaaOGV3z6n6SoxOqQ/view?usp=drive_linkInformações adicionais:Estudos:- Ensino SuperiorBenefícios:",[],
30307157,2024-09-06T23:59:59Z,Engenheiro de Dados Pleno,engenheiro-de-dados-pleno,não disponível,DONNES,SP,São Paulo,/vagas/engenheiro-de-dados-pleno/30307157/,"Somos a Donnes, uma empresa especializada em recrutamento e seleção ágil, comprometida em oferecer um processo de seleção humanizado e assertivo.Estamos em busca de um(a) Engenheiro(a) de Dados Pleno com mindset inovador e paixão por resolver desafios complexos de dados em grande escala. Sobre o dia a dia:   * Projetar, construir e gerenciar pipelines de dados escaláveis e de alto desempenho utilizando Azure Data Factory, garantindo fluxos de dados contínuos e eficientes; * Implementar soluções otimizadas para armazenamento e processamento de dados, com foco em Azure Database, suportando análises avançadas e modelos de machine learning; * Garantir a eficiência de sistemas de dados, melhorando a velocidade e desempenho de processamento, e propondo inovações contínuas; * Integrar dados de múltiplas fontes com precisão, assegurando consistência, acessibilidade e confiabilidade em grande escala; * Manter documentação técnica detalhada de todos os processos, e garantir a qualidade dos dados através de rigorosos processos de validação e limpeza; * Trabalhar de forma colaborativa com equipes de ciência de dados, engenharia e negócios, atendendo às demandas de dados e oferecendo soluções sob medida; * Monitorar o desempenho dos sistemas de dados e propor melhorias contínuas para maximizar a eficiência operacional; * Atuar na solução de desafios complexos envolvendo infraestrutura e fluxo de dados, além de conduzir migrações e otimizações em ambientes de nuvem como Azure.  * Ensino superior completo; * Experiência em engenharia de dados, com foco em soluções baseadas em Azure; * Conhecimento avançado em Python, SQL, T-SQL, PL/SQL, além de ferramentas de ETL como Azure Data Factory; * Experiência em otimização de performance e gerenciamento de bancos de dados relacionais e não relacionais; * Familiaridade com DevOps e boas práticas de automação e deploy contínuo. Conhecimentos que te destacam: * Experiência com Hadoop, Spark e ferramentas de Business Intelligence (BI); * Certificações em Azure (como AZ-900, DP-900); * Conhecimento em processos de migração para a nuvem e otimização de custos; * Inglês intermediário ou avançado, com experiência em projetos internacionais.",[],CLT (Efetivo)
30529403,2024-10-04T23:59:59Z,Assistente de Engenharia e Dados (vaga exclusiva para pessoas com deficiência),assistente-de-engenharia-e-dados-vaga-exclusiva-para-pessoas-com-deficiencia,não disponível,RESULTADOS DIGITAIS,SC,Florianópolis,/vagas/assistente-de-engenharia-e-dados-vaga-exclusiva-para-pessoas-com-deficiencia/30529403/,"Quer trabalhar em uma empresa que gera impacto emtodo o mercado e está em constante evolução?Somos a RD Station, líder em soluções de tecnologia para marketing e vendas noBrasil. Atualmente, somamos mais de 50.000 clientes, em 40 países. Nossa missão éimpulsionar os negócios das pequenas e médias empresas, apresentando as melhoressoluções para o seu crescimento. Por aqui, somos Customer First e acreditamos naevolução contínua, junto aos (as) nossos (as) parceiros (as) e clientes.Como alcançamos tudo isso?Através do nosso A-team, composto por mais de 1.500 pessoas colaboradoras em nossogrupo, capaz de oferecer soluções, produtos e educar o mercado, impactando oecossistema e empoderando heróis e heroínas, que fazem a economia crescer.Nosso jeito RD Station de ser:¡ Transformamos ideias em realidade em uma empresa com crescimento acelerado e emconstante evolução. Valorizamos a proatividade e a inovação, viabilizando caminhosde desenvolvimento.Øü Buscamos o bem-estar integral de cada pessoa RDoer (como chamamos nosso time por aqui), por meio de ações e benefícios que viabilizam recursos de autocuidado por meio de 5 pilares:à Emocional, Ê Financeiro, Ëü Físico, » Ocupacional e  Social.iþ» Somos primeiro lugar GPTW 2023 nas categorias mulher e etnico-racial e,através dos nossos pilares de Diversidade e Inclusão, buscamos acolher e empoderarpessoas dentro e fora da RD Station. Valorizamos a diversidade em nosso time, e desde 2017 nosso coletivo RDSum lidera ações afirmativas para inclusão, acolhimento e equidade de pessoas com deficiência na RD. Conheça o grupo no vídeo abaixo:Através da nossa cultura e pilares de Diversidade e Inclusão, buscamos acolher eempoderar pessoas dentro e fora da RD Station.Seu desafio no time:Você fará parte do time Engineering &amp; Ops , que atua em duas frentes principais:processos de incidentes e processos orientados por dados. Sua missão será garantira precisão e o acompanhamento de detalhes, além de ajudar os times de produto eengenharia para seguir os processos propostos e se comunicar melhor com osclientes. Se você tem interesse em dados, processos e deseja contribuir para osucesso dos produtos RD Station, esta oportunidade é para você!Suas principais entregas:Centralizar análises e compartilhar com os times para gerar insights acionáveis.Garantir que as orientações sejam convertidas em ações concretas pelos tempos.Realizar acompanhamento semanal para garantir que os processos sejam seguidos.Acompanhar SLOs e o processo de implantação, garantindo precisão e consistênciados dados monitorados.Auxiliar na gestão de incidentes, colaborando com a análise de métricas eprocessos..Perfil que buscamos:Proatividade:Capacidade de implementar rotinas e garantir que estejam alinhadas com osresultados esperados.Pensamento crítico:Avaliar processos e rotinas para ajustá-los conforme necessário e gerar melhorias.Boa comunicação:Colaborar com os tempos de engenharia e produto, garantindo que métricas eprocessos sejam compreendidos e seguidos.Organização:Habilidade de centralizar e monitorar dados e análises de forma eficiente.Será considerado um diferencial:Experiência em empresas de tecnologia ou desenvolvimento.Conhecimento de dados:Familiaridade com análise e gestão de métricas.Conhecimento básico de inglês.Experiência com processos de engenharia e gestão de incidentes. Nos comprometemos com a segurança dos seus dados! Em nosso Aviso dePrivacidade, descrevemos quais dados coletamos, como são consumidos e armazenados,em conformidade com a LGPD.Se você é uma pessoa movida por desafios, criatividade e impacto genuíno, avanceconosco nessa jornada de evolução!Faça parte do nosso time!",[],
29698367,2024-07-18T23:59:59Z,Cientista de Dados (Engenheiro) Home Office,cientista-de-dados-engenheiro-home-office,"De R$ 10.001,00 a R$ 15.000,00",Petrobras,RJ,Macae,/vagas/cientista-de-dados-engenheiro-home-office/29698367/,"Ciência de Dados  para  a Gerência Executiva, profissional  STEM (Science, Technology, Engineering, and Mathematics) - com a responsabilidade de suportar os  processos;Planejamento e Controle e Riscos  Operacionais  e de reporte à liderança Executiva;Suporte aos  processos  de Planejamento e Controle e Riscos  Operacionais, utilizando métodos quantitativos  de análise de dados  avançadas;Promover o avanço das  análise de dados  de forma  descritiva, para preditiva e,especialmente, prescritiva. As  análises  devem considerar os  diversos  KPI da árvore de valor das unidades  de negócio. experiência em análise de dados/business  analysts  e ciência de dados; ou logística, supply chain management e gestão de frotas  (schedulling); ou controle da  produção de óleo e gás; ou gestão de grandes  projetos  de engenharia; ou planejamento e controle (PCP).Sólida  experiência em ciência de dados, incluindo advanced analytics, modelos  preditivos  eprescritivos, clusterização machine learning  e otimização; Profissional certificado em POWER BI pela Microsoft 70-778, PL-330, 70-799 ou equivalente;Programação avançada em Python/R (incluindo pacotes  open-source - Pandas, Sckit-learn, etc.); Desejável conhecimento em SQL para consulta de base de dados  e geração de análises;Conhecimentos  e habilidades  em algoritmos  e estruturas  de dados;Nivel Superior em Engenharia, Com registro regular no respectivo conselho de classe.","['Assistência Médica / Medicina em grupo', 'Tíquete Refeição']",CLT (Efetivo)
